web-scraper-order,web-scraper-start-url,Name,Units Sold,Price
1759721426-35,https://shopee.co.th/multyshopping#product_list,The Saem-Cover Perfection Fixealer คอนซีลเลอร์ ปกปิดริ้วรอย จุดด่างดำ รอยสิว ไม่เป็นคราบ,8k+ sold,39
1759721426-36,https://shopee.co.th/multyshopping#product_list,Banobagi-Final Sleeping Mask บาโนบากิ สลีปปิ้ง มาส์ก มาส์กหน้าสูตรคุณหมอ,10k+ sold,1
1759721426-37,https://shopee.co.th/multyshopping#product_list,4U2 Fruity Tint 3 g.ลิปทินต์ผลไม้,404 sold,99
1759721426-38,https://shopee.co.th/multyshopping#product_list,La Glace Airy Skin Concealer 6 g.คอนซีลเลอร์เนื้อเซรั่ม,1 sold,389
1759721426-39,https://shopee.co.th/multyshopping#product_list,กดสั่ง 2 ชิ้น ราคา 99 บาท (คละสูตรได้) Refillจนถึงวันที่ 22/10/25****Benice Happy Summer Shower Cream 400 ml. แบบเติม,361 sold,109
1759721426-40,https://shopee.co.th/multyshopping#product_list,Gvana Dandi Liner 0.5 ml.อายไลเนอร์หัวเล็ก,7 sold,219
1759721426-41,https://shopee.co.th/multyshopping#product_list,4U2 MELLOW GLOW BALM บาล์มบำรุงปาก ลิปบาล์ม 4u2 บำรุงริมฝีปาก บาล์มปากจือ,679 sold,189
1759721426-42,https://shopee.co.th/multyshopping#product_list,Banobagi Final Sleeping Mask Whitening Plus บาโนบากิ สลีปปิ้งมาสก์,4k+ sold,50
1759721426-43,https://shopee.co.th/multyshopping#product_list,Kage Cloudy Lip Blending 2 g. ลิปไลเนอร์เบลอขอบปาก,2k+ sold,199
1759721426-44,https://shopee.co.th/multyshopping#product_list,Kage-Moji Puff โมจิพัฟ ทรง 3 เหลี่ยม,4k+ sold,1
1759721426-45,https://shopee.co.th/multyshopping#product_list,Cute Press-Mineral Facial Mist 100ml. คิวท์เพรส สเปรย์น้ำแร่ บำรุงผิวหน้า เติมความชุ่มชื้น,1k+ sold,1
1759721426-46,https://shopee.co.th/multyshopping#product_list,LA GLACE BRATTITUDE TWO TONE POWDER BLUSH | บลัชฝุ่นทูโทนลากลาส บลัชฝุ่น 6 สี บลัชออน สีนัว ละมุน,324 sold,289
1759721426-47,https://shopee.co.th/multyshopping#product_list,BIODANCE Refreshing Sea Kelp Real Deep Mask 34 ML. (1แผ่น/ชิ้น),3 sold,189
1759721426-48,https://shopee.co.th/multyshopping#product_list,Dr.Althea Vitamin C Boosting Serum 30 ml.เซรั่มวิตามินซี เข้มข้น 63% บูสผิวกระจ่างใส ใน 10 วัน*,305 sold,540
1759721426-49,https://shopee.co.th/multyshopping#product_list,4U2-Jelly Tint ลิปทินท์เนื้อเยลลี่ เบาสบายปาก,10k+ sold,69
1759721426-50,https://shopee.co.th/multyshopping#product_list,JM Solution Collection Mask 30 ml. มาส์กแผ่นบำรุงผิวหน้า,1k+ sold,99
1759721426-51,https://shopee.co.th/multyshopping#product_list,LOVE POTION Buddy Creamy Blush 4.5g บลัคตรีม,5k+ sold,99
1759721426-52,https://shopee.co.th/multyshopping#product_list,Rom&nd-Blur Fudge Tint โรแมนด์ ลิปทินท์เนื้อฟลัดจ์ เบลอริมฝีปากสวย ติดทนนาน,6k+ sold,239
1759721426-53,https://shopee.co.th/multyshopping#product_list,The Saem Saemmul Eye Primer 5.8 g.,9k+ sold,9
