web-scraper-order,web-scraper-start-url,Name,Units Sold,Price
1759481080-38,https://shopee.com.my/lunabeauty.my#product_list,[Beauty Of Joseon] Ginseng Essence Water 150ml/40ml,1k+ sold,57.75
1759481080-39,https://shopee.com.my/lunabeauty.my#product_list,[VT Cosmetics] VT Spot Patch - 48ea (18pcs 10mm + 30pcs 12mm patches),4k+ sold,15.50
1759481080-40,https://shopee.com.my/lunabeauty.my#product_list,[Purito Seoul] Oat-In Calming Gel Cream 100ml,2k+ sold,76.50
1759481080-41,https://shopee.com.my/lunabeauty.my#product_list,[Anua] Rice 70 Glow Milky Toner/ Brightening Cleansing Powder/ Hydrating Barrier Serum/ Moisturizing Milk,1k+ sold,69.30
1759481080-42,https://shopee.com.my/lunabeauty.my#product_list,[Anua] Heartleaf 77% Soothing Toner 40ml/250ml Exp: 13.02.26,1k+ sold,60.00
1759481080-43,https://shopee.com.my/lunabeauty.my#product_list,"[KOPHER] 4ver Edition - Curepair Solution, Cleanser, Ampoule, Cream, Sun Cream",,70.00
1759481080-44,https://shopee.com.my/lunabeauty.my#product_list,[Menokin] 30 Seconds Quick Bubble Mask 95ml,181 sold,86.00
1759481080-45,https://shopee.com.my/lunabeauty.my#product_list,[Unleashia] Mood Shower Face Palette Highlighter Version 4g 五色高光盘,164 sold,48.88
1759481080-46,https://shopee.com.my/lunabeauty.my#product_list,[Round Lab] 1025 Dokdo Cleanser Foam/ Gel/ Balm/ Oil/ Water,2k+ sold,1.00
1759481080-47,https://shopee.com.my/lunabeauty.my#product_list,[Rom&nd] Romand Better Than Palette - The Secret Garden,1k+ sold,83.30
1759481080-48,https://shopee.com.my/lunabeauty.my#product_list,[Fwee] Fingerlike Lip Brush - 4 Types,425 sold,30.00
1759481080-49,https://shopee.com.my/lunabeauty.my#product_list,[Heimish] All Clean Balm Sample 5ml,2k+ sold,3.75
1759481080-50,https://shopee.com.my/lunabeauty.my#product_list,[Anua] Heartleaf Pore Clay Pack 100ml Exp: May2026,94 sold,33.98
1759481080-51,https://shopee.com.my/lunabeauty.my#product_list,[Fully] Red Tomato Jam Mask Cleanser 120ml,,58.00
1759481080-52,https://shopee.com.my/lunabeauty.my#product_list,[Medicube] Zero Pore Pad 2.0/ Deep Vita C Pad (70pcs),139 sold,80.00
1759481080-53,https://shopee.com.my/lunabeauty.my#product_list,[KOPHER] Curepair Melder SOS System (1 Box = 1.5ml x 20pcs),,112.00
1759481080-54,https://shopee.com.my/lunabeauty.my#product_list,[Beauty of Joseon] Ginseng Cleansing Oil 210ml,299 sold,59.50
1759481080-55,https://shopee.com.my/lunabeauty.my#product_list,[Round Lab] Birch Juice Cleanser/ Sunscreen/ Moisturizing Pad,427 sold,45.00
1759481080-56,https://shopee.com.my/lunabeauty.my#product_list,[Skin1004] Madagascar Centella Poremizing Fresh Ampoule 30ml/50ml/100ml,228 sold,35.90
1759481080-57,https://shopee.com.my/lunabeauty.my#product_list,[Frankly] Closer Pore Reducing Serum 30ml/60ml,11 sold,35.00
1759481080-58,https://shopee.com.my/lunabeauty.my#product_list,[Unleashia] A by Unleashia Tinted Drop Jellying Cheek 5.2g,2 sold,24.38
1759481080-59,https://shopee.com.my/lunabeauty.my#product_list,[KOPHER] Premium Brilliant Mist 90ml,,82.00
1759481080-60,https://shopee.com.my/lunabeauty.my#product_list,[DearMay] Pure Falling Mood Lip Pot 6.5g,34 sold,33.60
1759481080-61,https://shopee.com.my/lunabeauty.my#product_list,[HeveBlue] Salmon Caring Centella Special Travel Kit Bag Set,205 sold,78.12
1759481080-62,https://shopee.com.my/lunabeauty.my#product_list,[Numbuzin] No.1 - No.5 Essence Toner Pad 70ea,10k+ sold,66.78
1759481080-63,https://shopee.com.my/lunabeauty.my#product_list,[The Face Shop] Jeju Aloe Fresh Soothing Foam Cleanser/ Aloe Fresh/ Ice Refreshing Soothing Gel,204 sold,18.50
1759481080-64,https://shopee.com.my/lunabeauty.my#product_list,[The Face Shop] Jeju Aloe Fresh Soothing Foam Cleanser/ Aloe Fresh/ Ice Refreshing Soothing Gel,204 sold,18.50
1759481080-65,https://shopee.com.my/lunabeauty.my#product_list,[Heimish] All Clean Balm 120ml,1k+ sold,53.00
1759481080-66,https://shopee.com.my/lunabeauty.my#product_list,[Eqqualberry] Swimming Pool Toner 155ml & 300ml,164 sold,50.00
1759481080-67,https://shopee.com.my/lunabeauty.my#product_list,[Abib] Glutathiosome Dark Spot Serum Vita Drop 50ml/ Pad Vita Touch 60ea/ Toner Skin Booster 200ml/ Creme Vita Tube 75ml,212 sold,68.60
1759481080-68,https://shopee.com.my/lunabeauty.my#product_list,[Jumiso] D-Panthenol Barrier Soothing Serum 70ml/ Soothing Cream 80ml,,85.00
1759481080-69,https://shopee.com.my/lunabeauty.my#product_list,[TFIT] Translucent Set Finishing Powder 7g,44 sold,37.90
1759481080-70,https://shopee.com.my/lunabeauty.my#product_list,[Heveblue] Salmon Caring Centella Ampoule/ Toner/ Face Wash/ Cleansing Oil/ Cream,576 sold,96.00
1759481080-71,https://shopee.com.my/lunabeauty.my#product_list,"[Dr.Melaxin] Exosome Repair Series (Peeling Serum, Cleanser, Cream, Ampoule)",84 sold,60.00
1759481080-72,https://shopee.com.my/lunabeauty.my#product_list,[Orien] Mugwort Zero Film Cleansing Oil 200ml/Foam 150ml/Moisturizer 60ml/Soothe In Toner 160ml/Collagen Serum 30ml,756 sold,15.00
1759481080-73,https://shopee.com.my/lunabeauty.my#product_list,[Beauty Of Joseon] Revive /Glow /Calming /Glow Deep Serum 30ml,984 sold,45.00
