web-scraper-order,web-scraper-start-url,Product Name,Units sold,Price
1759477013-47,https://shopee.ph/kbeautycafe#product_list,Beauty of Joseon Ginseng Essence Water,4.98K+ sold,392
1759477013-48,https://shopee.ph/kbeautycafe#product_list,Beauty of Joseon Relief Sun Aqua Fresh: Rice + B5 (Sunscreen),4.92K+ sold,765
1759477013-49,https://shopee.ph/kbeautycafe#product_list,Beauty of Joseon Relief Sun | Matte Sun Stick | Ginseng Moist Sun Serum (Sunscreen),4.910K+ sold,315
1759477013-50,https://shopee.ph/kbeautycafe#product_list,Beauty of Joseon Dynasty Cream,4.91K+ sold,"1,150"
1759477013-51,https://shopee.ph/kbeautycafe#product_list,Haruharu Wonder Black Rice Moisture Deep Cleansing Oil 150ml,4.91K+ sold,250
1759477013-52,https://shopee.ph/kbeautycafe#product_list,Frankly Cicahae Sun (Cica Complex + Hyaluronic Acid),4.95K+ sold,499
1759477013-53,https://shopee.ph/kbeautycafe#product_list,Romand Dewyful Water Tint,4.910K+ sold,350
1759477013-54,https://shopee.ph/kbeautycafe#product_list,Skin1004 Hyalu-Cica Water-Fit Sun Serum (1 pc. or 2 Pack),5.0407 sold,699
1759477013-55,https://shopee.ph/kbeautycafe#product_list,Anua Rice 70 Milky Glow Toner 250 ml,5.01K+ sold,950
1759477013-56,https://shopee.ph/kbeautycafe#product_list,Nine Less A-control 10% Azelaic Acid Serum 30ml Nineless,5.0439 sold,240
1759477013-57,https://shopee.ph/kbeautycafe#product_list,The SAEM Cover Perfection Triple Pot Concealer,4.92K+ sold,230
1759477013-58,https://shopee.ph/kbeautycafe#product_list,I'm from Rice Toner | Rice Toner Pads,5.05K+ sold,420
1759477013-59,https://shopee.ph/kbeautycafe#product_list,Frankly Niacinamide 15% + Zinc Beads Serum,4.9967 sold,399
1759477013-60,https://shopee.ph/kbeautycafe#product_list,Anua Rice 70 Glow Collagen Mask,5.031 sold,250
1759477013-61,https://shopee.ph/kbeautycafe#product_list,Eqqualberry Collagen Pore-Tight Up Hydrogel Mask,4.037 sold,280
1759477013-62,https://shopee.ph/kbeautycafe#product_list,Frankly Butter So Much Concentrated Nourishing Cream,4.9718 sold,399
1759477013-63,https://shopee.ph/kbeautycafe#product_list,"Romand Juicy Lasting Tint [Nucadamia, Bare Grape, Mulled Peach, Almond Rose]",4.910K+ sold,350
1759477013-64,https://shopee.ph/kbeautycafe#product_list,Mixsoon Bean Essence,5.01K+ sold,850
1759477013-65,https://shopee.ph/kbeautycafe#product_list,Numbuzin No.5 Vitamin Concentrated Serum 30ml,5.010K+ sold,890
1759477013-66,https://shopee.ph/kbeautycafe#product_list,Dr. Althea 147 Barrier Cream 50ml,4.9251 sold,"1,190"
1759477013-67,https://shopee.ph/kbeautycafe#product_list,Beauty of Joseon Ground Rice and Honey Glow Mask,4.92K+ sold,900
1759477013-68,https://shopee.ph/kbeautycafe#product_list,Tirtir Mask Fit Red Cushion (Trial Kit or Mini),4.93K+ sold,170
1759477013-69,https://shopee.ph/kbeautycafe#product_list,Beauty of Joseon Ginseng Cleansing Oil,4.98K+ sold,900
1759477013-70,https://shopee.ph/kbeautycafe#product_list,Dr. Althea Gentle Vitamin C Serum 30ml,4.9243 sold,895
1759477013-71,https://shopee.ph/kbeautycafe#product_list,Kaine ROSEMARY Relief Gel Cleanser / Rosemary AHA Night Serum [Lactic Acid Serum - AHA Serum],4.93K+ sold,215
1759477013-72,https://shopee.ph/kbeautycafe#product_list,Jumiso Niacinamide 10 Serum 40ml,5.011 sold,850
1759477013-73,https://shopee.ph/kbeautycafe#product_list,CosRX Acne Pimple Master Patch / Clear Fit Master Patch / AC Collection Acne Patch,4.910K+ sold,150
1759477013-74,https://shopee.ph/kbeautycafe#product_list,Beauty of Joseon Matte Sun Stick: Mugwort + Camelia | Beauty of Joseon Matte Sunstick,4.94K+ sold,990
1759477013-75,https://shopee.ph/kbeautycafe#product_list,Frankly Bestsellers Set [Retinol + Peptides + Hyaluronic Acid],5.0245 sold,"1,149"
1759477013-76,https://shopee.ph/kbeautycafe#product_list,Haruharu Wonder Black Rice Bakuchiol Eye Cream 20 ml,4.91K+ sold,630
1759477013-77,https://shopee.ph/kbeautycafe#product_list,Eqqualberry Purple PDRN Pore Minimizing Serum,5.0114 sold,"1,112"
1759477013-78,https://shopee.ph/kbeautycafe#product_list,Frankly CICA 80 & HA Soothing Toner,5.01K+ sold,499
1759477013-79,https://shopee.ph/kbeautycafe#product_list,Biodance Bio-Collagen Real Deep Mask Sheet (1pc or 4pcs),4.910K+ sold,280
1759477013-80,https://shopee.ph/kbeautycafe#product_list,Eqqualberry Collagen Glow Up Hydrogel Mask,5.013 sold,280
1759477013-81,https://shopee.ph/kbeautycafe#product_list,CosRX Salicylic Acid Daily Gentle Cleanser | Low pH Good Morning Gel Cleanser,4.9725 sold,275
1759477013-82,https://shopee.ph/kbeautycafe#product_list,Arencia Fresh Green Rice Mochi Cleanser / Rosehip / Blue Hyssop,4.81K+ sold,900
1759477013-83,https://shopee.ph/kbeautycafe#product_list,Pyunkang Yul Acne Dressing Mask Pack,4.91K+ sold,30
1759477013-84,https://shopee.ph/kbeautycafe#product_list,Romand Glasting Melting Balm,4.96K+ sold,360
